GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000
48501,050,48,501,99999,999,,,Yoakum County,7879,2978,7322,2974,7879,7322
48507,050,48,507,99999,999,,,Zavala County,11677,4283,11600,4075,11677,11600
48007,050,48,007,18580,204,,,Aransas County,23158,15355,22497,12848,23158,22497
48153,050,48,153,99999,999,,,Floyd County,6446,3004,7771,3221,6446,7771
48181,050,48,181,43300,206,,,Grayson County,120877,53727,110595,48315,120877,110595
48259,050,48,259,41700,999,,,Kendall County,33410,14055,23743,9609,33410,23743
48289,050,48,289,99999,999,,,Leon County,16801,9509,15335,8299,16801,15335
48431,050,48,431,99999,999,,,Sterling County,1143,615,1393,633,1143,1393
48443,050,48,443,99999,999,,,Terrell County,984,700,1081,991,984,1081
48071,050,48,071,26420,288,,,Chambers County,35096,13291,26031,10336,35096,26031
48085,050,48,085,19100,206,,,Collin County,782341,300960,491675,194892,782341,491675
48163,050,48,163,99999,999,,,Frio County,17217,5846,16252,5660,17217,16252
48179,050,48,179,37420,999,,,Gray County,22535,10158,22744,10567,22535,22744
48215,050,48,215,32580,999,,,Hidalgo County,774769,248287,569463,192658,774769,569463
48221,050,48,221,24180,206,,,Hood County,51182,24951,41100,19105,51182,41100
48231,050,48,231,19100,206,,,Hunt County,86129,36704,76596,32490,86129,76596
48275,050,48,275,99999,999,,,Knox County,3719,2044,4253,2129,3719,4253
48297,050,48,297,99999,999,,,Live Oak County,11531,6065,12309,6196,11531,12309
48315,050,48,315,99999,999,,,Marion County,10546,6218,10941,6384,10546,10941
48327,050,48,327,99999,999,,,Menard County,2242,1702,2360,1607,2242,2360
48329,050,48,329,33260,372,,,Midland County,136872,54351,116009,48060,136872,116009
48347,050,48,347,34860,999,,,Nacogdoches County,64524,27406,59203,25051,64524,59203
48361,050,48,361,13140,999,,,Orange County,81837,35313,84966,34781,81837,84966
48381,050,48,381,11100,999,,,Randall County,120725,51587,104312,43261,120725,104312
48383,050,48,383,99999,999,,,Reagan County,3367,1372,3326,1452,3367,3326
48399,050,48,399,99999,999,,,Runnels County,10501,5298,11495,5400,10501,11495
48429,050,48,429,99999,999,,,Stephens County,9630,4938,9674,4893,9630,9674
48453,050,48,453,12420,126,,,Travis County,1024266,441240,812280,335881,1024266,812280
48499,050,48,499,99999,999,,,Wood County,41964,20861,36752,17939,41964,36752
48019,050,48,019,41700,999,,,Bandera County,20485,11561,17645,9503,20485,17645
48061,050,48,061,15180,154,,,Cameron County,406220,141924,335227,119654,406220,335227
48069,050,48,069,99999,999,,,Castro County,8062,3166,8285,3198,8062,8285
48091,050,48,091,41700,999,,,Comal County,108472,47108,78021,32718,108472,78021
48121,050,48,121,19100,206,,,Denton County,662614,256139,432976,168069,662614,432976
48133,050,48,133,99999,999,,,Eastland County,18583,10258,18297,9547,18583,18297
48189,050,48,189,38380,999,,,Hale County,36273,13541,36602,13526,36273,36602
48203,050,48,203,32220,346,,,Harrison County,65631,27704,62110,26271,65631,62110
48229,050,48,229,99999,999,,,Hudspeth County,3476,1527,3344,1471,3476,3344
48241,050,48,241,99999,999,,,Jasper County,35710,16798,35604,16576,35710,35604
48287,050,48,287,99999,999,,,Lee County,16612,7499,15657,6851,16612,15657
48295,050,48,295,99999,999,,,Lipscomb County,3302,1512,3057,1541,3302,3057
48337,050,48,337,99999,999,,,Montague County,19719,10131,19117,9862,19719,19117
48351,050,48,351,99999,999,,,Newton County,14445,7142,15072,7331,14445,15072
48359,050,48,359,99999,999,,,Oldham County,2052,841,2185,815,2052,2185
48457,050,48,457,99999,999,,,Tyler County,21766,10579,20871,10419,21766,20871
48475,050,48,475,99999,999,,,Ward County,10658,4694,10909,4832,10658,10909
48021,050,48,021,12420,126,,,Bastrop County,74171,29316,57733,22254,74171,57733
48031,050,48,031,99999,999,,,Blanco County,10497,5532,8418,4031,10497,8418
48051,050,48,051,17780,999,,,Burleson County,17187,8832,16470,8197,17187,16470
48143,050,48,143,44500,999,,,Erath County,37890,16987,33001,14422,37890,33001
48151,050,48,151,99999,999,,,Fisher County,3974,2212,4344,2277,3974,4344
48165,050,48,165,99999,999,,,Gaines County,17526,6301,14467,5410,17526,14467
48211,050,48,211,99999,999,,,Hemphill County,3807,1629,3351,1548,3807,3351
48317,050,48,317,99999,999,,,Martin County,4799,1852,4746,1898,4799,4746
48385,050,48,385,99999,999,,,Real County,3309,2599,3047,2007,3309,3047
48469,050,48,469,47020,999,,,Victoria County,86793,35417,84088,32945,86793,84088
48477,050,48,477,14780,999,,,Washington County,33718,15514,30373,13241,33718,30373
48029,050,48,029,41700,999,,,Bexar County,1714773,662872,1392931,521359,1714773,1392931
48039,050,48,039,26420,288,,,Brazoria County,313166,118336,241767,90628,313166,241767
48049,050,48,049,15220,999,,,Brown County,38106,18287,37674,17889,38106,37674
48081,050,48,081,99999,999,,,Coke County,3320,2667,3864,2843,3320,3864
48099,050,48,099,28660,999,,,Coryell County,75388,25178,74978,21776,75388,74978
48131,050,48,131,99999,999,,,Duval County,11782,5523,13120,5543,11782,13120
48149,050,48,149,99999,999,,,Fayette County,24554,13868,21804,11113,24554,21804
48219,050,48,219,30220,352,,,Hockley County,22935,9293,22716,9148,22935,22716
48239,050,48,239,99999,999,,,Jackson County,14075,6590,14391,6545,14075,14391
48251,050,48,251,19100,206,,,Johnson County,150934,56719,126811,46269,150934,126811
48271,050,48,271,99999,999,,,Kinney County,3598,1940,3379,1907,3598,3379
48283,050,48,283,99999,999,,,La Salle County,6886,2746,5866,2436,6886,5866
48311,050,48,311,99999,999,,,McMullen County,707,485,851,587,707,851
48313,050,48,313,99999,999,,,Madison County,13664,5096,12940,4797,13664,12940
48335,050,48,335,99999,999,,,Mitchell County,9403,4064,9698,4168,9403,9698
48357,050,48,357,99999,999,,,Ochiltree County,10223,4062,9006,3769,10223,9006
48409,050,48,409,18580,204,,,San Patricio County,64804,26521,67138,24864,64804,67138
48423,050,48,423,46340,540,,,Smith County,209714,87309,174706,71701,209714,174706
48455,050,48,455,99999,999,,,Trinity County,14585,8713,13779,8141,14585,13779
48117,050,48,117,25820,999,,,Deaf Smith County,19372,7077,18561,6914,19372,18561
48161,050,48,161,99999,999,,,Freestone County,19816,9265,17867,8138,19816,17867
48177,050,48,177,99999,999,,,Gonzales County,19807,8794,18628,8194,19807,18628
48467,050,48,467,99999,999,,,Van Zandt County,52579,22817,48140,20896,52579,48140
48473,050,48,473,26420,288,,,Waller County,43205,15839,32663,11955,43205,32663
48023,050,48,023,99999,999,,,Baylor County,3726,2665,4093,2820,3726,4093
48093,050,48,093,99999,999,,,Comanche County,13974,7223,14026,7105,13974,14026
48103,050,48,103,99999,999,,,Crane County,4375,1632,3996,1596,4375,3996
48123,050,48,123,99999,999,,,DeWitt County,20097,9176,20013,8756,20097,20013
48253,050,48,253,10180,999,,,Jones County,20202,7422,20785,7236,20202,20785
48263,050,48,263,99999,999,,,Kent County,808,552,859,551,808,859
48349,050,48,349,18620,999,,,Navarro County,47735,20234,45124,18449,47735,45124
48371,050,48,371,99999,999,,,Pecos County,15507,5585,16809,6338,15507,16809
48379,050,48,379,99999,999,,,Rains County,10914,5269,9139,4523,10914,9139
48487,050,48,487,46900,999,,,Wilbarger County,13535,6318,14676,6371,13535,14676
48145,050,48,145,99999,999,,,Falls County,17866,7724,18576,7658,17866,18576
48157,050,48,157,26420,288,,,Fort Bend County,585375,197030,354452,115991,585375,354452
48291,050,48,291,26420,288,,,Liberty County,75643,28759,70154,26359,75643,70154
48303,050,48,303,31180,352,,,Lubbock County,278831,115064,242628,100595,278831,242628
48503,050,48,503,99999,999,,,Young County,18550,8622,17943,8504,18550,17943
